ms_Vx	ms_Vy	hdr_Vx	hdr_Vy	ms_res	hdr_res	d_Vx	d_Vy	d_res	d_relative_Vx	d_relative_Vy	d_relative_res
3.29332	-0.0151896	3.4748	0.035249	3.29335	3.47498	-0.181487	-0.0504386	-0.181631	-5.22294	-143.092	-5.22681
3.52499	0.0182996	3.44864	0.034745	3.52503	3.44882	0.0763441	-0.0164454	0.0762166	2.21374	-47.3317	2.20993
3.28667	-0.0758113	3.42108	0.031946	3.28754	3.42123	-0.134412	-0.107757	-0.133687	-3.92893	-337.311	-3.90756
3.26478	0.0238771	3.39345	0.028506	3.26486	3.39357	-0.128673	-0.0046289	-0.128705	-3.7918	-16.2383	-3.79262
3.09016	0.0763681	3.37021	0.026884	3.0911	3.37031	-0.280045	0.0494841	-0.279209	-8.30943	184.065	-8.28435
3.20874	0.0313254	3.35078	0.02918	3.2089	3.35091	-0.142041	0.0021454	-0.142015	-4.23903	7.3523	-4.23809
3.22401	-0.0217942	3.33369	0.030814	3.22408	3.33383	-0.109684	-0.0526082	-0.109752	-3.29016	-170.728	-3.29208
3.26807	-0.0240016	3.31857	0.030515	3.26816	3.31871	-0.0504967	-0.0545166	-0.0505489	-1.52164	-178.655	-1.52315
3.13725	0.0313298	3.30241	0.03067	3.13741	3.30256	-0.165161	0.0006598	-0.165147	-5.00123	2.15129	-5.00059
3.12394	0.0070165	3.28658	0.029385	3.12394	3.28671	-0.162645	-0.0223685	-0.162768	-4.94876	-76.1222	-4.95231
3.03845	-0.0849566	3.27461	0.025429	3.03964	3.27471	-0.236155	-0.110386	-0.235067	-7.21171	-434.093	-7.17825
3.22587	0.0158563	3.26787	0.021911	3.22591	3.26794	-0.042	-0.0060547	-0.0420345	-1.28524	-27.6332	-1.28627
3.13102	-0.0025643	3.26571	0.02043	3.13102	3.26578	-0.13469	-0.0229943	-0.134753	-4.12438	-112.552	-4.12623
3.26414	-0.0821949	3.26686	0.019323	3.26517	3.26691	-0.0027167	-0.101518	-0.00173913	-0.0831595	-525.373	-0.0532346
3.12113	0.014301	3.27086	0.017618	3.12116	3.2709	-0.14973	-0.003317	-0.149745	-4.57772	-18.8273	-4.5781
3.19038	-0.0172137	3.27772	0.017304	3.19042	3.27776	-0.0873405	-0.0345177	-0.0873397	-2.66467	-199.478	-2.66461
3.207	-0.0055477	3.28707	0.018055	3.207	3.28712	-0.0800745	-0.0236027	-0.0801193	-2.43604	-130.727	-2.43737
3.34508	-0.0915817	3.29925	0.016077	3.34633	3.29929	0.0458261	-0.107659	0.0470404	1.38899	-669.644	1.42577
3.24144	-0.0150943	3.3139	0.010944	3.24148	3.31392	-0.0724618	-0.0260383	-0.0724447	-2.1866	-237.923	-2.18607
3.21038	-0.0673156	3.33074	0.006219	3.21109	3.33074	-0.120352	-0.0735346	-0.119652	-3.61338	-1182.42	-3.59236
3.33343	-0.132759	3.35011	0.004382	3.33607	3.35012	-0.0166871	-0.137141	-0.0140473	-0.498106	-3129.64	-0.419309
3.23496	-0.0260788	3.37159	0.003947	3.23507	3.37159	-0.136626	-0.0300258	-0.136524	-4.05229	-760.725	-4.04923
3.28664	-0.0118126	3.39487	0.004776	3.28666	3.39488	-0.108235	-0.0165886	-0.108217	-3.1882	-347.332	-3.18767
3.25192	0.0168289	3.42033	0.007179	3.25196	3.42034	-0.168409	0.0096499	-0.168373	-4.92378	134.418	-4.92271
3.4775	-0.078794	3.44729	0.007253	3.4784	3.4473	0.0302113	-0.086047	0.0310962	0.876377	-1186.36	0.902046
3.31435	0.0118085	3.47457	0.004779	3.31437	3.47458	-0.160227	0.0070295	-0.160209	-4.61141	147.091	-4.61089
3.37596	-0.0717187	3.50236	0.004849	3.37672	3.50236	-0.126399	-0.0765677	-0.125641	-3.60898	-1579.04	-3.58733
3.46979	-0.101345	3.52978	0.007053	3.47127	3.52979	-0.0599959	-0.108398	-0.0585232	-1.6997	-1536.91	-1.65798
3.4795	0.0814495	3.55503	0.008672	3.48045	3.55504	-0.0755326	0.0727775	-0.07459	-2.12467	839.224	-2.09815
3.45734	-0.0202478	3.58168	0.008874	3.4574	3.58169	-0.12434	-0.0291218	-0.124291	-3.47154	-328.17	-3.47018
3.63447	-0.0514499	3.60953	0.010198	3.63484	3.60954	0.0249423	-0.0616479	0.025292	0.691012	-604.51	0.700699
3.4813	-0.0088763	3.63408	0.010966	3.48131	3.63409	-0.152777	-0.0198423	-0.152782	-4.20401	-180.944	-4.20414
3.72497	0.0362947	3.65479	0.010159	3.72515	3.6548	0.0701884	0.0261357	0.0703511	1.92045	257.266	1.9249
3.81686	-0.0180895	3.6735	0.010178	3.8169	3.67352	0.143356	-0.0282675	0.143384	3.90243	-277.731	3.90319
3.55893	0.0196354	3.68992	0.01169	3.55899	3.68994	-0.130992	0.0079454	-0.130957	-3.55	67.9675	-3.54901
3.88563	0.0203215	3.70353	0.013887	3.88568	3.70355	0.182103	0.0064345	0.182131	4.91703	46.3347	4.91772
3.64702	0.0355777	3.71362	0.017918	3.6472	3.71367	-0.0665986	0.0176597	-0.0664683	-1.79336	98.5584	-1.78983
3.52371	0.05089	3.7191	0.022883	3.52408	3.71917	-0.195396	0.028007	-0.195099	-5.25384	122.392	-5.24575
3.80736	-0.0149178	3.72147	0.026826	3.80739	3.72156	0.0858958	-0.0417438	0.0858283	2.30812	-155.609	2.30624
3.64841	0.0685647	3.72089	0.030102	3.64905	3.72101	-0.072481	0.0384627	-0.0719585	-1.94795	127.775	-1.93384
3.79232	0.0436801	3.7172	0.033605	3.79257	3.71735	0.0751212	0.0100751	0.0752208	2.02091	29.981	2.02351
3.79042	0.125305	3.71193	0.036886	3.79249	3.71212	0.0784865	0.088419	0.0803739	2.11444	239.709	2.16517
3.51185	0.0503339	3.70497	0.038248	3.51221	3.70516	-0.19312	0.0120859	-0.192957	-5.21246	31.5988	-5.20778
3.62564	0.0728869	3.69444	0.037708	3.62637	3.69463	-0.0687942	0.0351789	-0.0682541	-1.8621	93.2929	-1.84739
3.50396	0.0581087	3.68193	0.0369	3.50444	3.68211	-0.177964	0.0212087	-0.177667	-4.83344	57.4762	-4.82514
3.51801	0.0299103	3.66867	0.037531	3.51814	3.66887	-0.150662	-0.0076207	-0.150727	-4.10671	-20.3051	-4.10826
3.53945	0.0341073	3.65268	0.039886	3.53961	3.65289	-0.113231	-0.0057787	-0.113285	-3.09995	-14.488	-3.10123
3.52982	0.0482351	3.63366	0.042737	3.53015	3.63391	-0.103836	0.0054981	-0.103758	-2.85761	12.865	-2.85526
3.55349	0.0421835	3.6116	0.045495	3.55374	3.61189	-0.0581122	-0.0033115	-0.0581484	-1.60904	-7.27882	-1.60992
3.51244	0.0645525	3.58864	0.045541	3.51303	3.58893	-0.076201	0.0190115	-0.0758968	-2.1234	41.7459	-2.11475
3.50266	-0.0021457	3.56541	0.047637	3.50266	3.56573	-0.0627463	-0.0497827	-0.0630639	-1.75986	-104.504	-1.76861
3.46611	0.0258458	3.54302	0.050243	3.46621	3.54338	-0.0769103	-0.0243972	-0.0771702	-2.17076	-48.5584	-2.17787
3.49712	0.0341541	3.5206	0.049438	3.49729	3.52095	-0.0234751	-0.0152839	-0.0236554	-0.666793	-30.9153	-0.671848
3.18123	-0.0036969	3.49826	0.046625	3.18123	3.49857	-0.317032	-0.0503219	-0.317341	-9.06257	-107.929	-9.07058
3.47571	-0.0212454	3.47661	0.043575	3.47578	3.47688	-0.0008948	-0.0648204	-0.00110294	-0.0257377	-148.756	-0.0317221
3.33188	0.013781	3.4564	0.042041	3.33191	3.45666	-0.124517	-0.02826	-0.124745	-3.60252	-67.2201	-3.60882
3.2903	-0.0133654	3.43789	0.041017	3.29032	3.43814	-0.147597	-0.0543824	-0.147815	-4.29325	-132.585	-4.29927
3.4172	0.0406859	3.41847	0.039734	3.41744	3.4187	-0.0012703	0.0009519	-0.00125901	-0.0371599	2.39568	-0.0368273
3.28598	0.101843	3.39862	0.039526	3.28756	3.39885	-0.112641	0.0623165	-0.111293	-3.31431	157.66	-3.27442
3.30001	0.0013758	3.38293	0.039813	3.30001	3.38316	-0.0829157	-0.0384372	-0.0831497	-2.451	-96.5443	-2.45775
3.23207	0.0023876	3.36925	0.039909	3.23207	3.36949	-0.137184	-0.0375214	-0.137419	-4.07163	-94.0174	-4.07833
3.23509	-0.0068587	3.3543	0.035274	3.2351	3.35448	-0.119209	-0.0421327	-0.119388	-3.55393	-119.444	-3.55904
3.2586	-0.129143	3.3401	0.02739	3.26116	3.34021	-0.0815018	-0.156533	-0.079056	-2.4401	-571.497	-2.3668
3.21472	0.112312	3.32906	0.022045	3.21668	3.32913	-0.114339	0.0902675	-0.112451	-3.43457	409.469	-3.37778
3.18271	-0.0835277	3.32012	0.020395	3.18381	3.32019	-0.137414	-0.103923	-0.13638	-4.13881	-509.55	-4.10761
3.19408	0.0258356	3.31345	0.018626	3.19418	3.31351	-0.119375	0.0072096	-0.119323	-3.60275	38.7072	-3.60112
3.13458	0.0241913	3.30941	0.016435	3.13467	3.30945	-0.174831	0.0077563	-0.174778	-5.28283	47.1938	-5.28118
3.17827	0.124568	3.30671	0.012631	3.18071	3.30673	-0.128441	0.111937	-0.126025	-3.88425	886.205	-3.81116
3.21617	0.0167546	3.30531	0.008304	3.21621	3.30532	-0.0891357	0.0084506	-0.0891025	-2.69675	101.765	-2.69573
3.13993	0.0162505	3.30629	0.003884	3.13997	3.3063	-0.166369	0.0123665	-0.166329	-5.03189	318.396	-5.03068
3.2588	-0.0212861	3.30906	-0.000445	3.25887	3.30906	-0.0502641	-0.0208411	-0.0501946	-1.51898	4683.39	-1.51688
3.21561	0.0016583	3.31369	-0.003235	3.21561	3.31369	-0.0980757	0.0048933	-0.0980769	-2.95972	-151.261	-2.95975
3.17196	0.0030669	3.32011	-0.003849	3.17197	3.32011	-0.148143	0.0069159	-0.148144	-4.46199	-179.68	-4.46201
3.18884	-0.0079444	3.32876	-0.003854	3.18885	3.32877	-0.139927	-0.0040904	-0.139919	-4.20357	106.134	-4.20334
3.20684	-0.0091961	3.3402	-0.004271	3.20685	3.34021	-0.133364	-0.0049251	-0.133354	-3.99269	115.315	-3.99238
3.28114	-0.0303593	3.35455	-0.007496	3.28128	3.35456	-0.0734045	-0.0228633	-0.0732724	-2.18821	305.007	-2.18427
3.21264	-0.0299932	3.37103	-0.012089	3.21278	3.37105	-0.158388	-0.0179042	-0.15827	-4.6985	148.103	-4.69496
3.23389	0.0772576	3.3876	-0.016134	3.23481	3.38764	-0.153711	0.0933916	-0.152827	-4.53745	-578.85	-4.5113
3.26074	-0.0148969	3.40323	-0.019213	3.26077	3.40329	-0.142495	0.0043161	-0.142515	-4.18705	-22.4645	-4.18758
3.26034	-0.0366976	3.42031	-0.022893	3.26054	3.42038	-0.159968	-0.0138046	-0.159838	-4.67701	60.3005	-4.6731
3.32409	0.0442254	3.43976	-0.025959	3.32438	3.43986	-0.115673	0.0701844	-0.115477	-3.36282	-270.366	-3.35702
3.29846	-0.0001881	3.46062	-0.025455	3.29846	3.46072	-0.162165	0.0252669	-0.162259	-4.686	-99.261	-4.68858
3.34616	0.0299112	3.48249	-0.02408	3.34629	3.48257	-0.136327	0.0539912	-0.136277	-3.91465	-224.216	-3.91311
3.37187	0.0076375	3.5058	-0.025278	3.37188	3.50589	-0.133936	0.0329155	-0.134019	-3.82041	-130.214	-3.82266
3.40339	-0.0013258	3.53111	-0.025609	3.40339	3.5312	-0.127721	0.0242832	-0.127814	-3.61702	-94.8229	-3.61955
3.5211	-0.047092	3.55738	-0.024647	3.52142	3.55747	-0.0362801	-0.022445	-0.0360506	-1.01985	91.0658	-1.01338
3.42333	-0.0462888	3.58198	-0.021496	3.42364	3.58205	-0.158653	-0.0247928	-0.158405	-4.42921	115.337	-4.42219
3.48431	-0.0225875	3.60477	-0.016162	3.48439	3.60481	-0.12046	-0.0064255	-0.120423	-3.34168	39.7568	-3.34062
3.44068	-0.0294407	3.62749	-0.011373	3.44081	3.62751	-0.186806	-0.0180677	-0.186698	-5.14974	158.865	-5.14673
3.54649	-0.0202947	3.6489	-0.007395	3.54654	3.64891	-0.102417	-0.0128997	-0.102366	-2.80678	174.438	-2.80539
3.80371	-0.0340416	3.66883	-0.005238	3.80387	3.66884	0.134882	-0.0288036	0.135031	3.67644	549.897	3.68048
3.64814	0.0696379	3.68697	-0.003617	3.6488	3.68698	-0.0388381	0.0732549	-0.0381753	-1.05339	-2025.29	-1.03541
3.85959	0.102585	3.70235	-0.001198	3.86095	3.70235	0.157244	0.103783	0.158607	4.24716	-8663.02	4.28397
3.76449	0.0155637	3.71573	0.003993	3.76452	3.71573	0.0487667	0.0115707	0.0487967	1.31244	289.775	1.31325
3.66795	-0.0107374	3.72784	0.009024	3.66797	3.72785	-0.0598925	-0.0197614	-0.0598877	-1.60663	-218.987	-1.60649
3.64403	-0.0066694	3.73749	0.011234	3.64403	3.73751	-0.0934628	-0.0179034	-0.0934736	-2.50068	-159.368	-2.50096
3.66137	-0.001018	3.74272	0.014663	3.66137	3.74275	-0.0813469	-0.015681	-0.0813755	-2.17347	-106.943	-2.17422
3.73445	-0.0127864	3.74554	0.019214	3.73447	3.74559	-0.0110952	-0.0320004	-0.0111226	-0.296224	-166.547	-0.296952
3.64132	0.0082673	3.7458	0.02305	3.64133	3.74587	-0.104478	-0.0147827	-0.104539	-2.78919	-64.1332	-2.79078
3.69179	0.0172115	3.7429	0.027023	3.69183	3.743	-0.0511171	-0.0098115	-0.0511745	-1.36571	-36.308	-1.36721
3.74676	-0.0357201	3.73913	0.031878	3.74693	3.73927	0.0076337	-0.0675981	0.00766808	0.204157	-212.053	0.205069
3.63567	0.0341594	3.73614	0.036037	3.63583	3.73632	-0.100476	-0.0018776	-0.10049	-2.68931	-5.2102	-2.68954
3.60957	0.0208407	3.73227	0.037561	3.60963	3.73246	-0.122697	-0.0167203	-0.122826	-3.28746	-44.5151	-3.29075
3.80844	0.0237614	3.72609	0.036265	3.80851	3.72627	0.0823472	-0.0125036	0.0822449	2.21002	-34.4784	2.20717
3.60803	0.0536751	3.7148	0.035594	3.60843	3.71497	-0.10677	0.0180811	-0.106541	-2.87419	50.7982	-2.8679
3.76914	-0.0305851	3.69585	0.037197	3.76926	3.69603	0.0732945	-0.0677821	0.0732314	1.98316	-182.225	1.98135
3.67218	-0.0029044	3.67263	0.040768	3.67218	3.67285	-0.0004471	-0.0436724	-0.000672217	-0.0121738	-107.124	-0.0183023
3.52587	0.0370647	3.65258	0.044077	3.52606	3.65284	-0.126706	-0.0070123	-0.126777	-3.46896	-15.9092	-3.47065
3.76236	0.0884882	3.63514	0.044663	3.7634	3.63542	0.127214	0.0438252	0.12798	3.49954	98.1242	3.52035
3.52162	0.032196	3.61524	0.044233	3.52177	3.61551	-0.093618	-0.012037	-0.0937414	-2.58954	-27.2127	-2.59276
3.47443	0.0435852	3.59314	0.045632	3.4747	3.59343	-0.118714	-0.0020468	-0.11873	-3.3039	-4.48545	-3.30409
3.39772	0.0596858	3.57017	0.046154	3.39824	3.57047	-0.172455	0.0135318	-0.172229	-4.83044	29.3188	-4.82371
3.33372	0.0531987	3.54875	0.044484	3.33414	3.54903	-0.215028	0.0087147	-0.214882	-6.05926	19.5906	-6.05468
3.46557	-0.0087077	3.52857	0.041314	3.46558	3.52881	-0.0630076	-0.0500217	-0.0632385	-1.78564	-121.077	-1.79206
3.33345	0.0676368	3.5084	0.040501	3.33414	3.50863	-0.174951	0.0271358	-0.174499	-4.98664	67.0003	-4.97341
3.27447	0.0366909	3.48728	0.039459	3.27467	3.48751	-0.212817	-0.0027681	-0.212835	-6.10267	-7.01513	-6.10279
3.21966	0.0354876	3.46728	0.037323	3.21986	3.46749	-0.247625	-0.0018354	-0.24763	-7.14175	-4.91761	-7.14149
3.38918	0.046568	3.4487	0.034029	3.3895	3.44887	-0.0595213	0.012539	-0.0593693	-1.7259	36.848	-1.72141
3.38233	0.104094	3.43173	0.030631	3.38393	3.43186	-0.0493953	0.0734627	-0.0479306	-1.43937	239.831	-1.39664
3.36511	0.0547839	3.41702	0.029673	3.36555	3.41714	-0.0519062	0.0251109	-0.0515891	-1.51905	84.6254	-1.50971
3.18936	0.0286585	3.40464	0.028623	3.18949	3.40477	-0.215285	3.55e-05	-0.215277	-6.32328	0.124026	-6.3228
3.2802	-0.0025123	3.3922	0.024814	3.2802	3.39229	-0.112	-0.0273263	-0.11209	-3.30169	-110.125	-3.30424
3.19019	0.0031576	3.38009	0.019495	3.19019	3.38015	-0.189904	-0.0163374	-0.189958	-5.61829	-83.803	-5.61982
3.16356	-0.0533191	3.36984	0.015438	3.16401	3.36988	-0.206284	-0.0687571	-0.20587	-6.12146	-445.376	-6.10911
3.29667	0.0622892	3.3616	0.01429	3.29726	3.36163	-0.0649326	0.0479992	-0.0643746	-1.9316	335.894	-1.91498
3.18949	0.0097294	3.35573	0.014774	3.1895	3.35576	-0.166245	-0.0050446	-0.166262	-4.95405	-34.1451	-4.95453
3.12309	0.0320678	3.35096	0.014292	3.12326	3.35099	-0.227866	0.0177758	-0.227732	-6.80003	124.376	-6.79597
3.15806	0.0602019	3.34648	0.012538	3.15863	3.3465	-0.188417	0.0476639	-0.187867	-5.63031	380.156	-5.61382
3.139	-0.0055596	3.34419	0.010079	3.13901	3.3442	-0.205184	-0.0156386	-0.205194	-6.13554	-155.16	-6.13582
3.19542	0.0385498	3.34455	0.007591	3.19565	3.34456	-0.14913	0.0309588	-0.148906	-4.45891	407.836	-4.4522
3.17379	0.0155141	3.3454	0.006385	3.17383	3.3454	-0.17161	0.0091291	-0.171578	-5.12974	142.977	-5.12878
3.11082	0.0328664	3.34622	0.004805	3.111	3.34623	-0.2354	0.0280614	-0.23523	-7.03481	584.004	-7.02971
