ms_Vx	ms_Vy	hdr_Vx	hdr_Vy	ms_res	hdr_res	d_Vx	d_Vy	d_res	d_relative_Vx	d_relative_Vy	d_relative_res
1.84156	-0.0384271	2.11597	-0.137442	1.84197	2.12043	-0.274402	0.0990149	-0.27846	-12.9682	-72.0412	-13.1323
1.63586	-0.0487197	2.10016	-0.10157	1.63658	2.10261	-0.464302	0.0528503	-0.466031	-22.1079	-52.0334	-22.1644
1.67465	-0.0015395	2.0793	-0.059857	1.67465	2.08016	-0.40465	0.0583175	-0.405511	-19.4609	-97.428	-19.4942
1.74959	0.0014653	2.05179	-0.012163	1.74959	2.05182	-0.302201	0.0136283	-0.302236	-14.7287	-112.047	-14.7301
1.60557	0.0339327	2.02094	0.03618	1.60593	2.02126	-0.415371	-0.0022473	-0.415336	-20.5533	-6.21144	-20.5483
1.6417	0.0511056	1.98654	0.081103	1.6425	1.98819	-0.344833	-0.0299974	-0.345693	-17.3585	-36.9868	-17.3873
1.65606	0.0369218	1.95197	0.121848	1.65647	1.95577	-0.295905	-0.0849262	-0.299293	-15.1593	-69.6985	-15.3031
1.58417	0.0752872	1.92725	0.162853	1.58595	1.93412	-0.343082	-0.0875658	-0.348163	-17.8017	-53.7698	-18.0011
1.6263	0.0688211	1.90889	0.202423	1.62775	1.9196	-0.282599	-0.133602	-0.291846	-14.8043	-66.0013	-15.2035
1.53743	0.120149	1.88569	0.236898	1.54212	1.90051	-0.348257	-0.116749	-0.358392	-18.4684	-49.2823	-18.8577
1.75054	0.118748	1.85924	0.272988	1.75456	1.87917	-0.108698	-0.15424	-0.124609	-5.84638	-56.5006	-6.63107
1.66975	0.14718	1.83128	0.301272	1.67623	1.85589	-0.161527	-0.154092	-0.179669	-8.82043	-51.1473	-9.68099
1.55246	0.251428	1.80108	0.31331	1.57269	1.82813	-0.248628	-0.0618825	-0.255448	-13.8043	-19.7512	-13.9732
1.6034	0.225034	1.77098	0.313968	1.61912	1.7986	-0.167578	-0.0889343	-0.179479	-9.46246	-28.3259	-9.97886
1.29864	0.34467	1.74515	0.31446	1.3436	1.77326	-0.446507	0.0302096	-0.429651	-25.5856	9.60682	-24.2295
1.43553	0.358365	1.72497	0.314424	1.47958	1.75339	-0.289439	0.0439409	-0.273806	-16.7794	13.975	-15.6158
1.51164	0.278449	1.70902	0.306942	1.53708	1.73637	-0.197377	-0.0284933	-0.199291	-11.5492	-9.28296	-11.4775
1.46191	0.133904	1.69622	0.290776	1.46803	1.72096	-0.234304	-0.156872	-0.252927	-13.8133	-53.9494	-14.6969
1.05898	0.255056	1.68752	0.272245	1.08927	1.70934	-0.628538	-0.017189	-0.620076	-37.2462	-6.3138	-36.2757
1.24913	0.146895	1.68116	0.25067	1.25774	1.69975	-0.43203	-0.103775	-0.442008	-25.6983	-41.3993	-26.0043
1.17218	0.227454	1.67492	0.222331	1.19404	1.68962	-0.502747	0.0051233	-0.495574	-30.0161	2.30436	-29.3306
1.35837	0.190168	1.66992	0.19257	1.37162	1.68099	-0.311548	-0.0024018	-0.309368	-18.6565	-1.24723	-18.4039
1.34131	0.195398	1.66434	0.166154	1.35547	1.67262	-0.323036	0.0292442	-0.317151	-19.4092	17.6007	-18.9614
1.13717	0.0564676	1.65609	0.138419	1.13858	1.66187	-0.518919	-0.0819514	-0.523293	-31.3339	-59.2053	-31.4882
0.370327	0.0551353	1.65071	0.10612	0.374409	1.65412	-1.28038	-0.0509847	-1.27971	-77.5655	-48.0444	-77.365
0.26156	-0.215871	1.65271	0.074066	0.339137	1.65436	-1.39115	-0.289937	-1.31523	-84.1738	-391.458	-79.5005
1.11604	-0.0617739	1.65808	0.049628	1.11775	1.65882	-0.542039	-0.111402	-0.541073	-32.6907	-224.474	-32.6179
1.34898	-0.140332	1.66808	0.031345	1.35626	1.66837	-0.319097	-0.171677	-0.312112	-19.1296	-547.702	-18.7076
1.57657	0.046684	1.68731	0.012211	1.57726	1.68736	-0.110747	0.034473	-0.1101	-6.56352	282.311	-6.52501
1.58706	0.0023751	1.71695	-0.009638	1.58706	1.71698	-0.129895	0.0120131	-0.12992	-7.56545	-124.643	-7.56681
1.77852	0.0617669	1.75368	-0.03077	1.77959	1.75395	0.0248349	0.0925369	0.0256372	1.41616	-300.737	1.46168
1.75343	-0.0739054	1.79137	-0.048338	1.75499	1.79203	-0.0379415	-0.0255674	-0.0370367	-2.11801	52.893	-2.06675
1.74677	-0.068481	1.82754	-0.06594	1.74811	1.82873	-0.0807703	-0.002541	-0.0806177	-4.41961	3.8535	-4.40839
1.61935	0.0088452	1.86432	-0.084669	1.61938	1.86624	-0.244968	0.0935142	-0.246865	-13.1398	-110.447	-13.2279
2.06906	-0.0850332	1.90064	-0.101453	2.0708	1.90335	0.168413	0.0164198	0.167454	8.86083	-16.1846	8.79784
1.92614	-0.0602293	1.93353	-0.120065	1.92708	1.93725	-0.0073887	0.0598357	-0.0101715	-0.382136	-49.8361	-0.525046
2.01271	-0.0985558	1.95919	-0.134378	2.01512	1.9638	0.0535141	0.0358222	0.0513227	2.73143	-26.6578	2.61344
1.6732	-0.0432929	1.97932	-0.145887	1.67376	1.98469	-0.306114	0.102594	-0.310923	-15.4656	-70.3244	-15.6661
1.74514	-0.0553595	1.99994	-0.157208	1.74602	2.00611	-0.254797	0.101848	-0.260088	-12.7402	-64.7858	-12.9648
2.03339	-0.0718748	2.01861	-0.168069	2.03466	2.0256	0.0147755	0.0961942	0.00906079	0.731963	-57.2349	0.447315
1.73363	-0.0480438	2.0331	-0.174331	1.7343	2.04056	-0.299475	0.126287	-0.306269	-14.7299	-72.441	-15.0091
1.74972	-0.0675301	2.04091	-0.179343	1.75102	2.04878	-0.291193	0.111813	-0.297755	-14.2678	-62.3458	-14.5333
1.66262	-0.311099	2.04942	-0.185713	1.69148	2.05781	-0.386797	-0.125386	-0.366339	-18.8735	67.5162	-17.8023
1.80376	-0.0752411	2.05723	-0.192178	1.80533	2.06619	-0.253469	0.116937	-0.260858	-12.3209	-60.8482	-12.6251
1.79067	-0.0627938	2.06424	-0.19485	1.79177	2.07341	-0.273566	0.132056	-0.281641	-13.2526	-67.7733	-13.5834
1.7907	-0.0613224	2.07932	-0.197368	1.79175	2.08867	-0.288629	0.136046	-0.296926	-13.8809	-68.9299	-14.216
1.77038	-0.0725608	2.09644	-0.200944	1.77186	2.10605	-0.326068	0.128383	-0.33419	-15.5534	-63.89	-15.8681
1.83198	-0.102566	2.11426	-0.200433	1.83484	2.12374	-0.282287	0.0978672	-0.288897	-13.3515	-48.8279	-13.6032
1.75128	-0.0713525	2.13127	-0.197496	1.75273	2.1404	-0.379995	0.126144	-0.387673	-17.8295	-63.8714	-18.1121
1.80834	-0.0793031	2.14273	-0.192728	1.81008	2.15138	-0.334393	0.113425	-0.341305	-15.6059	-58.8523	-15.8644
1.85315	-0.107056	2.14773	-0.186676	1.85624	2.15583	-0.294583	0.07962	-0.299591	-13.716	-42.6514	-13.8968
1.76097	-0.0704835	2.15419	-0.179773	1.76238	2.16168	-0.393222	0.109289	-0.399301	-18.2538	-60.7931	-18.4718
1.70307	-0.0648821	2.16329	-0.17172	1.70431	2.17009	-0.460214	0.106838	-0.465783	-21.2738	-62.2163	-21.4638
1.73541	-0.0638275	2.17848	-0.16156	1.73659	2.18446	-0.443068	0.0977325	-0.447877	-20.3384	-60.493	-20.5028
1.85102	-0.0541325	2.19002	-0.149323	1.85181	2.19511	-0.338999	0.0951905	-0.343292	-15.4792	-63.748	-15.639
1.80839	-0.0599224	2.18654	-0.134489	1.80938	2.19068	-0.378153	0.0745666	-0.381292	-17.2945	-55.4444	-17.4052
1.71026	-0.0417417	2.16979	-0.115213	1.71077	2.17285	-0.459528	0.0734713	-0.462076	-21.1785	-63.77	-21.2659
1.74457	-0.0355433	2.14504	-0.093131	1.74493	2.14706	-0.400466	0.0575877	-0.402125	-18.6694	-61.8352	-18.7291
1.78372	-0.0419593	2.11968	-0.072372	1.78421	2.12092	-0.335967	0.0304127	-0.336708	-15.8499	-42.0227	-15.8756
1.66404	-0.0084262	2.09425	-0.053535	1.66406	2.09493	-0.430207	0.0451088	-0.430869	-20.5423	-84.2604	-20.5672
1.80532	-0.0291349	2.06727	-0.035168	1.80556	2.06757	-0.261946	0.0060331	-0.26201	-12.6711	-17.1551	-12.6724
1.83337	0.0024474	2.04112	-0.014893	1.83337	2.04117	-0.207747	0.0173404	-0.2078	-10.1781	-116.433	-10.1804
2.00032	-0.136149	2.01787	0.007666	2.00495	2.01789	-0.0175505	-0.143815	-0.012937	-0.869752	-1876.01	-0.641117
1.68322	0.0218508	1.998	0.030017	1.68336	1.99823	-0.314782	-0.0081662	-0.314865	-15.7548	-27.2053	-15.7572
1.61664	0.0323027	1.98058	0.051891	1.61696	1.98126	-0.363942	-0.0195883	-0.364299	-18.3755	-37.7489	-18.3872
1.62454	0.0550957	1.96251	0.075316	1.62547	1.96395	-0.337967	-0.0202203	-0.338478	-17.2212	-26.8473	-17.2345
1.66518	0.0527146	1.93928	0.095792	1.66602	1.94164	-0.27409	-0.0430774	-0.275621	-14.1337	-44.9697	-14.1953
1.77796	0.0696836	1.91276	0.115579	1.77932	1.91625	-0.134808	-0.0458954	-0.136932	-7.04783	-39.7091	-7.14582
0.828943	0.149894	1.88863	0.137206	0.842386	1.89361	-1.05969	0.0126877	-1.05122	-56.1087	9.24719	-55.5142
1.68001	0.0638116	1.8681	0.159103	1.68122	1.87486	-0.188089	-0.0952914	-0.19364	-10.0685	-59.8929	-10.3282
0.817882	0.106115	1.85017	0.177024	0.824737	1.85861	-1.03228	-0.0709089	-1.03388	-55.7941	-40.0561	-55.6262
0.730277	0.187787	1.83526	0.188848	0.754035	1.84495	-1.10498	-0.0010606	-1.09091	-60.2084	-0.561616	-59.1297
1.61418	0.0860997	1.82063	0.193274	1.61647	1.83086	-0.206453	-0.107174	-0.214388	-11.3396	-55.452	-11.7097
1.10829	0.143411	1.80412	0.196907	1.11753	1.81483	-0.695833	-0.0534962	-0.697307	-38.5691	-27.1683	-38.4227
